stock_name,stock_code,address1,address2,city,zip,phone,website,industry,sector,fullTimeEmployees
AVILLION BERHAD,8885,"Unit 8E, Wisma YPR","Level 8 No. 1, Lorong Kapar Off Jalan Syed Putra",Kuala Lumpur,58000,60322620100,https://www.avillionberhad.com,Lodging,Consumer Cyclical,
AWANBIRU TECHNOLOGY BERHAD,5204,Star Central,Block 11B Lingkaran Cyber Point Timur Cyber 12,Cyberjaya,63000,60386897000,https://www.awantec.my,Education & Training Services,Consumer Defensive,
AWC BERHAD,7579,"20-2, Subang Business Centre",Jalan USJ 9/5T UEP Subang Jaya,Subang Jaya,47620,60380244503,https://www.awc.com.my,Engineering & Construction,Industrials,
AXIATA GROUP BERHAD,6888,Axiata Tower,9 Jalan Stesen Sentral 5 Kuala Lumpur Sentral,Kuala Lumpur,50470,60322638888,https://www.axiata.com,Telecom Services,Communication Services,
AXIS REAL ESTATE INVESTMENT TRUST,5106,Penthouse Menara Axis,"No. 2, Jalan 51A/223",Petaling Jaya,46100,60379584882,https://www.axis-reit.com.my,REIT - Diversified,Real Estate,78.0
AXTERIA GROUP BERHAD,7120,Wisma Teras Eco,"Suite 02-01, Level 2 No.56, Jalan Setia Tropika 1/14 Taman Setia Tropika",Johor Bahru,81200,6072330911,https://axteria-group.com.my,Real Estate - Development,Real Estate,20.0
AYER HOLDINGS BERHAD,2305,Bangunan Yee Seng,"5th Floor No. 15, Jalan Raja Chulan",Kuala Lumpur,50200,60320342366,https://www.ayer.com.my,Real Estate - Development,Real Estate,
AYS VENTURES BERHAD,5021,Lot 6488,Jalan Haji Abdul Manan,Klang,42100,60333775597,https://www.ays-group.com,Steel,Basic Materials,284.0
B.I.G. INDUSTRIES BERHAD,7005,Pending Industrial Estate,"Lot 2225, Section 66 Jalan Dermaga",Kuching,93450,6082486321,https://www.bigind.com.my,Specialty Chemicals,Basic Materials,
BABA ECO GROUP BERHAD,03012,"No. 1384, Atas Lot 841","Mk 1, Jalan Tasek Seberang Perai Selatan",Simpang Ampat,14120,,https://www.baba.com.my,Home Improvement Retail,Consumer Cyclical,
BAHVEST RESOURCES BERHAD,0098,KUBOTA SENTRAL,"LOT 81-2, 2ND FLOOR KM 6,  OFF JALAN APAS",Tawau,91000,6089747747,https://www.bahvest.com.my,Gold,Basic Materials,
BANK ISLAM MALAYSIA BERHAD,5258,Menara Bank Islam,"Level 32 No. 22, Jalan Perak",Kuala Lumpur,50450,60327078000,https://www.bankislam.com,Banks - Regional,Financial Services,4744.0
BARAKAH OFFSHORE PETROLEUM BERHAD,7251,Menara Mitraland,"Level 6, No. 13A, Jalan PJU 5/1 Kota Damansara PJU 5",Petaling Jaya,47810,60376638900,https://www.barakahpetroleum.com,Oil & Gas Equipment & Services,Energy,
BATU KAWAN BERHAD,1899,Wisma Taiko,"No. 1, Jalan S.P. Seenivasagam",Ipoh,30000,6052408000,https://www.bkawan.com.my,Conglomerates,Industrials,
BCB BERHAD,6602,"No. 4B, Jalan Sentol",2nd & 3rd Floor South Wing-Kluang Parade,Kluang,86000,6077760089,https://bcbbhd.com.my,Real Estate - Diversified,Real Estate,
BCM ALLIANCE BERHAD,0187,"No. 73-2, Jalan Equine 10",Taman Equine,Seri Kembangan,43300,60389530031,https://www.bcmalliance.com.my,Medical Distribution,Healthcare,
BENALEC HOLDINGS BERHAD,5190,"No. 23, Jalan Perintis U1/52",Glenmarie Temasya Seksyen U1,Shah Alam,40150,60355697366,https://www.benalec.com.my,Engineering & Construction,Industrials,94.0
BERJAYA ASSETS BERHAD,3239,Berjaya Times Square,"Level 8, Lot 08-16 No.1 Jalan Imbi PO Box. 08-23",Kuala Lumpur,55100,60321449821,https://www.berjaya.com/berjaya-assets,Conglomerates,Industrials,
BERJAYA CORPORATION BERHAD,3395,Berjaya Times Square,"Lot 13-01A, Level 12 (East Wing) No. 1 Jalan Imbi",Kuala Lumpur,55100,60321491999,https://www.berjaya.com,Conglomerates,Industrials,
BERJAYA FOOD BERHAD,5196,Lot 13-01A,"Level 13 (East Wing) No.1, Jalan Imbi Berjaya Times Square",Kuala Lumpur,55100,60321491999,https://www.berjaya.com/berjaya-food/index.php,Restaurants,Consumer Cyclical,
BERJAYA LAND BERHAD,4219,Berjaya Times Square,Level 12 (East Wing) No. 1 Jalan Imbi,Kuala Lumpur,55100,60321491999,https://www.berjaya.com/berjaya-land/,Conglomerates,Industrials,
BERMAZ AUTO BERHAD,5248,Temasya Industrial Park,"No 7, Jalan Pelukis U1/46 Seksyen U1",Shah Alam,40150,60376278888,https://www.bauto.com.my,Auto & Truck Dealerships,Consumer Cyclical,987.0
BERTAM ALLIANCE BERHAD,9814,Wisma Damai Point,"Luyang Lot 10, 8th Floor Kota Kinabalu",Sabah,88300,6088201832,https://www.bertamalliance.com,Real Estate Services,Real Estate,
BESHOM HOLDINGS BERHAD,7668,Wisma Hai-O,Lot 11995 Batu 2 Jalan Kapar,Klang,41400,60333423322,https://www.beshom.com,Pharmaceutical Retailers,Healthcare,479.0
BETAMEK BERHAD,0263,Lingkaran Taman Industri Integra,Lot 137 Taman Industri Integrasi Rawang,Rawang,48000,60360942999,https://www.betamek.com.my,Auto Parts,Consumer Cyclical,
BINA DARULAMAN BERHAD,6173,Menara BDB,"Level 9 88, Lebuhraya Darulaman",Alor Setar,05100,6047300303,https://bdb.com.my,Engineering & Construction,Industrials,602.0
BINA PURI HOLDINGS BHD,5932,Wisma Bina Puri,"88, Jalan Bukit Idaman 8/1 Bukit Idaman",Selayang,68100,60361363333,https://www.binapuri.com.my,Engineering & Construction,Industrials,
BINASAT COMMUNICATIONS BERHAD,0195,Menara Binasat,"Lot PT 13824, Jalan Teknologi 4 Technology Park Malaysia Bukit Jalil",Kuala Lumpur,57000,60395461881,https://binacom.com.my,Telecom Services,Communication Services,
BINTAI KINDEN CORPORATION BERHAD,6998,10-01-02 PJX-HM Shah Tower,Jalan Persiaran Barat,Petaling Jaya,46050,60376620488,https://www.bintai.com.my,Engineering & Construction,Industrials,
BINTULU PORT HOLDINGS BERHAD,5032,"Block 20, Kemena Land District",Lot 15 12th Mile Tanjung Kidurong Road P.O Box 996,Bintulu,97008,6086255101,https://www.bintuluport.com.my,Marine Shipping,Industrials,
BIOALPHA HOLDINGS BERHAD,0179,"No. 1, Jalan Perindustrian Suntrack","Hub Perindustrian Suntrack Off Jalan P1A, Seksyen 13",Bandar Baru Bangi,43000,60389222286,https://bioa.com.my,Packaged Foods,Consumer Defensive,
BLD PLANTATION BHD.,5069,Crown Towers,"Level 6 88, Jalan Pending",Kuching,93450,6082335311,https://www.bldpb.com.my,Farm Products,Consumer Defensive,
BOILERMECH HOLDINGS BERHAD,0168,Lot 875,Jalan Subang 8 Taman Perindustrian Subang,Subang Jaya,47620,60380239137,https://www.boilermech.com,Specialty Industrial Machinery,Industrials,470.0
BONIA CORPORATION BERHAD,9288,Ikon Connaught,Level 6 Lot 160 Jalan Cerdas Taman Connaught Cheras,Kuala Lumpur,56000,60391089000,https://www.bonia.com,Footwear & Accessories,Consumer Cyclical,
BORNEO OIL BERHAD,7036,Section 19 KTLD,Lot 18,Kuching,93400,,https://www.borneo-oil.com.my,Conglomerates,Industrials,
BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,8133,Menara Boustead,"17th Floor 69, Jalan Raja Chulan",Kuala Lumpur,50200,60320787770,https://www.bhic.com.my,Aerospace & Defense,Industrials,982.0
BOUSTEAD HOLDINGS BERHAD,2771,,,,,,,,,
BOUSTEAD PLANTATIONS BERHAD,5254,The Bousteador,"Level 23 No. 10, Jalan PJU 7/6 Mutiara Damansara",Petaling Jaya,47800,60321419044,https://www.bousteadplantations.com.my,Farm Products,Consumer Defensive,5154.0
BOX-PAK (MALAYSIA) BERHAD,6297,Jalan Perusahaan 2,Lot 4,Batu Caves,68100,60361896688,https://boxpak.com.my,Packaging & Containers,Consumer Cyclical,2075.0
BP PLASTICS HOLDING BHD,5100,"5A, Jalan Wawasan 2",Kawasan Perindustrian Sri Gading,Batu Pahat,83300,6074557633,https://www.bpplas.com,Packaging & Containers,Consumer Cyclical,461.0
BRIGHT PACKAGING INDUSTRY BERHAD,9938,"No. 23, Jalan Delima 1/3",Subang Hi-Tech Industrial Park,Shah Alam,40000,60356351949,https://www.brightpack.net,Packaging & Containers,Consumer Cyclical,
BRITE-TECH BERHAD,0011,Jalan Pendamar 27/90,Lot 14 (PT 5015) Seksyen 27,Shah Alam,40400,60351928188,https://www.brite-tech.com,Pollution & Treatment Controls,Industrials,
BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,4162,Guoco Tower,"Level 19 Damansara City No. 6, Jalan Damanlela, Bukit Damansara",Kuala Lumpur,50490,60327208188,https://www.batmalaysia.com,Tobacco,Consumer Defensive,350.0
BSL CORPORATION BERHAD,7221,"E-10-4, Megan Avenue 1 189",Jalan Tun Razak,Kuala Lumpur,50400,6021810516,https://www.bslcorp.com.my,Metal Fabrication,Industrials,
BTM RESOURCES BERHAD,7188,"No. 101, 3rd Floor",Wisma Kam Choon Jalan Kampung Tiong,Kuala Terengganu,20100,6096223633,https://www.btmresources.com.my,Lumber & Wood Production,Basic Materials,
BUMI ARMADA BERHAD,5210,Menara Perak,"Level 21 24, Jalan Perak",Kuala Lumpur,50450,60321715799,https://www.bumiarmada.com,Oil & Gas Equipment & Services,Energy,700.0
BURSA MALAYSIA BERHAD,1818,Exchange Square,15th Floor Bukit Kewangan,Kuala Lumpur,50200,60320347000,https://www.bursamalaysia.com,Financial Data & Stock Exchanges,Financial Services,
BV LAND HOLDINGS BERHAD,03042,"No. 3, Lorong Landasan",Off Jalan Bukit Kuda,Klang,41300,60333444023,https://www.bvland.com.my,Real Estate - Development,Real Estate,
C.I. HOLDINGS BERHAD,2828,Hampshire Place Office,"Suite A-11-1, Level 11 157 Hampshire No. 1, Jalan Mayang Sari",Kuala Lumpur,50450,60321827333,https://www.cih.com.my,Packaged Foods,Consumer Defensive,
CAB CAKARAN CORPORATION BERHAD,7174,Plot 21,Lorong Jelawat 4 Seberang Jaya Industrial Park Seberang Jaya,Perai,13700,6043982233,https://www.cab.com.my,Farm Products,Consumer Defensive,3160.0
CABNET HOLDINGS BERHAD,0191,No.18 (PLO 184) Jalan Angkasa Mas 6,Kawasan Perindustrian Tebrau II,Johor Bahru,81100,6073539008,https://www.cabnet.asia,Engineering & Construction,Industrials,170.0
CAHYA MATA SARAWAK BERHAD,2852,Wisma Mahmud,Level 6 Jalan Sungai Sarawak,Kuching,93100,6082238888,https://www.cahyamata.com,Building Materials,Basic Materials,2000.0
CAM RESOURCES BERHAD,7128,Batu 12,Jalan Hutan Melintang,Hutan Melintang,36400,6056411046,https://www.camres.com.my,Farm Products,Consumer Defensive,409.0
CAN-ONE BERHAD,5105,Jalan SS 6/6,"2B-4, Level 4 Kelana Jaya",Petaling Jaya,47301,60378048590,https://www.canone.com.my,Packaged Foods,Consumer Defensive,5782.0
CAPE EMS BERHAD,5311,"PLO 227A, Jalan Cyber 1A",Kawasan perindustrian senai III,Senai,81400,6072133333,https://www.cape-group.com.my,Electronic Components,Technology,375.0
CAPITAL A BERHAD,5099,"RedQ, Jalan Pekeliling 5",Lapangan Terbang Antarabangsa,Kuala Lumpur,64000,60386604333,https://capitala.airasia.com,Airlines,Industrials,16149.0
CAPITALAND MALAYSIA TRUST,5180,"Unit No. 1-27, Level 27, Naza Tower","No. 10, Persiaran KLCC",Kuala Lumpur,50088,60322799888,https://www.clmt.com.my,REIT - Retail,Real Estate,
CAREPLUS GROUP BERHAD,0163,Lorong Senawang 3/2,Lot 17479 Off Jalan Senawang 3 Senawang Industrial Estate,Seremban,70450,6066782377,https://www.careplus.com,Medical Instruments & Supplies,Healthcare,
CARIMIN PETROLEUM BERHAD,5257,"B-1-6, Megan Avenue 1","Block B 189, Jalan Tun Razak",Kuala Lumpur,50400,60321687000,https://www.carimin.com,Oil & Gas Equipment & Services,Energy,
CARLO RINO GROUP BERHAD,03016,"No. 160, Ikon Connaught","L2-05, 2nd Floor Jalan Cerdas Taman Connaught",Kuala Lumpur,56000,60391089600,https://corporate.carlorino.net,Footwear & Accessories,Consumer Cyclical,
